,Coord X,Coord Y
0,38,287
1,25,978
2,295,893
3,521,423
4,50,913
5,429,846
6,467,493
7,606,46
8,171,204
9,665,647
10,563,936
11,540,154
12,934,138
13,381,288
14,359,164
15,600,380
16,820,108
17,103,935
18,865,821
19,281,83
20,622,732
21,763,58
22,722,692
23,731,62
24,775,385
25,349,234
26,512,775
27,984,347
28,753,416
29,503,939
30,375,219
31,140,868
32,55,834
33,300,500
34,831,163
35,315,897
36,609,463
37,31,539
38,760,614
39,122,357
40,212,166
41,216,247
42,563,775
43,380,907
44,441,713
45,440,234
46,159,642
47,695,842
48,600,155
49,355,378
50,964,540
51,476,47
52,767,395
53,29,539
54,449,876
55,593,493
56,103,224
57,775,953
58,961,546
59,76,420
60,557,398
61,325,560
62,578,119
63,496,588
64,903,299
65,79,628
66,119,943
67,957,503
68,167,69
69,912,790
70,590,948
71,783,6
72,113,861
73,127,153
74,254,466
75,318,430
76,420,255
77,100,236
78,514,883
79,138,435
80,909,768
81,651,920
82,564,685
83,769,482
84,450,84
85,98,421
86,259,506
87,290,912
88,685,786
89,735,113
90,77,760
91,441,109
92,16,535
93,293,246
94,783,700
95,238,159
96,497,945
97,628,41
98,483,83
99,847,816
